lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription
54.18832926,-2.49145774,surfacemarblesteps.007,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18838374,-2.49147662,surfacemarblesteps.008,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21462146,-2.5236767,leckbeckheadwesteast.10,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19236704,-2.46885844,turbarypot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20819825,-2.51413417,weepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19940317,-2.51243811,nottsii,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20942473,-2.51332161,lambtrap,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1877631,-2.48213301,pilgrimpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18793003,-2.48216882,bleadubspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20730483,-2.50700551,shortlongdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20251362,-2.50625758,lostjohnstag,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20608975,-2.5049462,coalhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21474499,-2.52327252,leckbeckheadwesteast.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20241141,-2.50581499,roughpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20505136,-2.50699676,shortdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20025113,-2.46316042,jinglingcavetop.3,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19714672,-2.4641099,rowtencavebottom.3,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20735391,-2.50979356,eyeholes.004,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18017156,-2.48237851,brokenribcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21486492,-2.52338889,leckbeckheadwesteast.5,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20024708,-2.4633267,jinglingcavetop.7,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1970318,-2.46556873,rowtencavetop.13,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21632844,-2.51885965,kirkpot2.31,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21636073,-2.51885238,kirkpot2.35,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21553899,-2.51010312,pipsink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20895986,-2.51151537,bruntskillpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20671743,-2.45299664,yordas1.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19686623,-2.46601613,rowtencavetop.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1971568,-2.4640372,rowtencavebottom.6,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19699342,-2.46573292,rowtencavetop.9,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1989082,-2.46424231,jinglingmiddle.21,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19699005,-2.46439385,rowtencavemiddle.26e,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18838543,-2.49148108,surfacemarblesteps2sink.003,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2153699,-2.51055816,yeadon_pipikin_surface_survey.pipikinentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19996187,-2.50579502,boxheadpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21418936,-2.51474931,yeadon_pipikin_surface_survey.crosshall-nearwaterfall,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2118935,-2.51464622,yeadon_pipikin_surface_survey.endofdive,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1999099,-2.46250022,aquamole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20733481,-2.50624542,byron,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19074364,-2.5017695,ireby,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18761681,-2.48288772,mohole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18362465,-2.48721892,nnepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18580355,-2.49544182,lowdouk,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18681436,-2.49312219,riftpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18646004,-2.48847957,largepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1948962,-2.50566079,nottspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21450895,-2.5156738,potblack,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19704206,-2.50638457,shep_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20719596,-2.51247158,bigmeanie,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18761374,-2.48358571,brollypot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18642543,-2.48832653,littlepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18354656,-2.48719441,northendpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19589988,-2.50539102,perilouspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19351236,-2.50691109,pinocchiopot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20728581,-2.51611871,cockaminecave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19329638,-2.44305098,vesperpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20707139,-2.51077896,deathsheadhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18430718,-2.45286886,crescentpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18116126,-2.46100077,illusionpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1923607,-2.44211941,growlinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18980173,-2.45114924,lordstophole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20668691,-2.50566671,rumblingmain,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19404727,-2.50591082,hopelesspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19638468,-2.50654222,excellent_entrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2086851,-2.51388172,fenwick_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21277139,-2.51571946,yeadon_pipikin_surface_survey.gourhall,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21470304,-2.5128205,yeadon_pipikin_surface_survey.hallof10_mountainking_jct,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21409053,-2.51309781,yeadon_pipikin_surface_survey.hallofthedamned,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20002792,-2.50532568,itsacracker,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2144032,-2.51233866,yeadon_pipikin_surface_survey.smokeyhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20047802,-2.5115611,thecupcake,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19896168,-2.5092446,voldemort,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21395159,-2.51311664,yeadon_pipikin_surface_survey.waterfallchambersump,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17491613,-2.4445376,dalebarncave.newentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17490985,-2.4436588,dalebarncave.oldentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
