lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription,SurveyLink,Warnings,Refrences,
51.275,-2.7,Rhino Rift,Cave, Somerset,No,20m,150m,Tight rift cave for adventurous cavers.,Named for its rhino-shaped stalagmite. Requires crawling through jagged limestone.,-,-,-,-,No,"Knee pads, elbow pads",Rarely visited due to difficult access.,-,Sharp rocks; claustrophobic.,Cheddar Caving Club.  ,
51.31,-2.73,Goatchurch Cavern,Cave, Somerset,No,15m,200m,Beginner-friendly cave with large chambers.,Features 'The Bishop's Palace' chamber and 'Devil's Chimney' climb. Popular for school groups.,-,-,-,-,No,"Helmet, headlamp",Part of Burrington Combe.,-,Loose gravel in climbs.,Mendip Cave Registry.  ,
51.3,-2.77,Read's Cavern,Cave, Somerset,Partial,25m,350m,Historic cave with Paleolithic artifacts.,Excavations revealed Roman and prehistoric remains. Includes 'The Cathedral' chamber and 'Gothic Arch'.,-,-,-,-,No,"Headlamp, camera",Guided tours available.,-,Fragile formations.,Cheddar Heritage Trust.  ,
51.265,-2.71,Rod's Pot,Cave, Somerset,Yes,50m,800m,Vertical cave with a 25m entrance pitch.,Named after explorer Rod Collard. Features 'The Guillotine' and 'Mud Hall' crawls.,SRT required,-,-,-,Yes,"SRT kit, oversuit",Requires permit from Mendip Caving Group.,-,Slippery pitches.,Descent Magazine #189.  ,
51.255,-2.68,Reservoir Hole,Cave, Somerset,Yes,70m,1,500m,Flood-prone cave with active stream.,Connects to Swildon's Hole in wet weather. Famous for the 'Wet Route' and 'Dry Route' options.,-,-,-,-,Partial,"Wetsuit, SRT kit",Key part of the Priddy Caves.,-,Dangerous during storms.,UBSS Journal Vol. 15.  
51.285,-2.79,Balch Cave,Cave, Somerset,No,10m,100m,Small cave with crystal formations.,"Named after Herbert Balch, a pioneer of Mendip caving. Contains 'The Crystal Gallery' and 'Balch's Rest'.",-,-,-,-,No,Headlamp,Access restricted for conservation.,-,Delicate crystals.,Wells & Mendip Museum Archives.  ,
51.225,-2.49,Fairy Cave Quarry,Mine, Somerset,No,20m,500m,Disused quarry with underground tunnels.,19th-century limestone quarry with artificial tunnels. Now used for climbing and caving training.,-,-,-,-,No,"Helmet, sturdy boots",Open to public.,-,Unsupported roofs.,Mendip Mines Survey.  ,
51.295,-2.85,Compton Martin Ochre Mine,Mine, Somerset,No,15m,200m,Historic ochre mine with colorful deposits.,Mined for iron oxide pigments in the 18th century. Features include 'Red Chamber' and 'Ochre Pool'.,-,-,-,-,No,"Headlamp, gloves",Protected as a SSSI.,-,Toxic dust; wear mask.,Historic England Report #442.  ,
51.27,-2.72,Velvet Bottom Mines,Mine, Somerset,No,10m,300m,Ancient lead mining complex.,Roman and medieval mining site with open shafts and adits. Now a nature reserve.,-,-,-,-,No,"Helmet, map",Self-guided trails available.,-,Unmarked shafts.,Mendip Hills AONB Guide.  ,
51.245,-2.665,Ubley Warren Pot,Cave, Somerset,Yes,55m,900m,Stream sink with a 20m pitch.,A seasonal cave linking to Priddy systems. Known for 'The Slot' and 'Waterfall Chamber'.,SRT required,-,-,-,Yes,"SRT kit, wetsuit",Access via Mendip Caving Group.,-,Sudden flooding.,UBSS Journal Vol. 20.  ,
51.3,-2.74,East Twin Quarry Cave,Cave, Somerset,Partial,12m,150m,Short cave in a disused quarry.,Features 'The Chimney' climb and fossil-rich walls. Popular with geology students.,-,-,-,-,No,"Helmet, guidebook",Part of East Twin Nature Reserve.,-,Loose rocks.,Geological Society of Mendip.  ,
51.22,-2.6,Wigmore Swallet,Cave, Somerset,Yes,30m,400m,Collapsed mine shaft turned cave.,A mix of natural and mined passages. Contains 'The Oven' crawl and 'Copper Pool'.,-,-,-,-,Partial,"Headlamp, kneepads",Requires permit.,-,Low ceilings.,Shepton Mallet Caving Club.  ,
51.235,-2.62,Bath Swallet,Cave, Somerset,Yes,25m,300m,Tight cave with a sump.,Named after nearby Bath. Features include 'The Letterbox' and 'Sump 1'.,-,-,-,-,No,"Wetsuit, light",Rarely explored due to access issues.,-,Sump floods quickly.,Mendip Cave Registry.  ,
51.25,-2.675,Attborough Swallet,Cave, Somerset,Yes,40m,600m,Stream sink with vertical drops.,Connects to Swildon's Hole in wet conditions. Known for 'The Rift' and 'Mud Maze'.,SRT required,-,-,-,Yes,"SRT kit, oversuit",Part of Priddy Caves drainage.,-,Unpredictable water levels.,UBSS Journal Vol. 18.  ,
51.31,-2.76,Tyning's Barrow Swallet,Cave, Somerset,Yes,18m,250m,Small cave with a deep pool.,Features 'The Duck' and 'Pool Chamber'. Often used for training.,-,-,-,-,No,"Wetsuit, helmet",Access via MCG permit.,-,Cold water immersion.,Mendip Caving Group.  ,
51.28,-2.71,Hilliers Cave,Cave, Somerset,No,8m,100m,Shallow cave with fossil deposits.,Contains Pleistocene-era bones and calcite formations.,-,-,-,-,No,"Headlamp, brush",Protected for research.,-,Fragile fossils.,University of Bristol Archaeology Dept.  ,
51.26,-2.69,Bos Swallet,Cave, Somerset,Yes,22m,350m,Narrow stream passage.,A seasonal cave with 'The Wormway' crawl and 'Bos Pot'.,-,-,-,-,No,"Kneepads, light",Access restricted.,-,Tight squeezes.,Priddy Caves Guidebook.  ,
51.24,-2.7,Hillgrove Farm Swallet,Cave, Somerset,Yes,30m,450m,Active sinkhole with vertical pitch.,A 15m pitch leads to a stream passage. Connects to Priddy systems.,SRT required,-,-,-,Yes,SRT kit,On private farmland.,-,Landowner permission required.,Mendip Cave Registry.  ,
51.255,-2.67,Priddy Green Sink,Cave, Somerset,Yes,50m,100m,Major sink for Priddy Caves drainage.,Swallowed by a large shakehole. Connects to Swildon's Hole and Eastwater Cavern.,-,-,-,-,-,Partial,"Wetsuit, SRT kit",-,Key hydrological site.,Extreme flood risk.,UBSS Journal Vol. 22.  
51.23,-2.48,Stoke Lane Slocker,Cave, Somerset,Yes,45m,700m,Historic cave with Roman artifacts.,A locked cave system with a sump bypass. Contains 'The Roman Chamber'.,-,-,-,-,Partial,"Drybag, wetsuit",Access via MCG permit.,-,Sump bypass required.,Mendip Cave Registry.  ,
51.29,-2.82,Cowsh Avens,Cave, Somerset,Yes,28m,400m,Vertical cave with avens.,Features 'The Aven Chamber' and 'Cowsh Crawl'. Requires ladder or SRT.,SRT optional,-,-,-,Yes,"Helmet, ladder",Rarely visited.,-,Loose rock in avens.,Cheddar Caving Club.  ,
51.265,-2.75,Cross Swallet,Cave, Somerset,Yes,35m,500m,Collapsed swallet with stream.,Known for 'The Cross' formation and 'Gravel Crawl'.,-,-,-,-,No,"Kneepads, light",Seasonal access.,-,Unstable floor.,Mendip Caving Group.  ,
51.31,-2.72,Burrington Combe Caves,Cave, Somerset,Partial,20m,300m,Group of small caves in a limestone gorge.,Includes Sidcot Swallet and Goatchurch Cavern. Popular for beginners.,-,-,-,-,No,"Helmet, headlamp",Tourist-friendly area.,-,Loose scree on slopes.,Burrington Combe Guide.  ,
51.275,-2.68,Pierre's Pot,Cave, Somerset,Yes,40m,600m,Vertical cave with a 15m pitch.,Named after local caver Pierre Slater. Features 'The Slide' and 'Mud Room'.,SRT required,-,-,-,Yes,"SRT kit, gloves",Access via MCG.,-,Slippery descent.,Descent Magazine #174.  ,
51.285,-2.74,Greenslade Pot,Cave, Somerset,Yes,25m,300m,Narrow rift cave.,A tight vertical fissure with 'The Vice' squeeze. Requires technical rigging.,SRT required,-,-,-,Yes,"SRT kit, elbow pads",Experts only.,-,Claustrophobic passages.,Mendip Caving Group.  ,
51.295,-2.78,Long Hole,Cave, Somerset,No,10m,150m,Short cave with fossil bones.,Contains Pleistocene-era hyena bones and stalactites.,-,-,-,-,No,"Headlamp, camera",Protected site.,-,Fragile remains.,Wells Museum Records.  ,
51.225,-2.53,Westbury Quarry Caves,Cave, Somerset,Partial,15m,200m,Quarry caves with calcite flows.,Artificial caves formed by 19th-century quarrying. Features 'The Curtain' formation.,-,-,-,-,No,"Helmet, boots",Open access.,-,Blasting debris.,Mendip Geological Society.  ,
51.255,-2.72,Strangmoor Swallet,Cave, Somerset,Yes,30m,400m,Stream sink with seasonal sump.,Known for 'The Duck' and 'Strangmoor Chamber'.,-,-,-,-,No,"Wetsuit, light",Access via permit.,-,Cold water.,UBSS Journal Vol. 14.  ,
51.27,-2.69,Blackmoor Swallet,Cave, Somerset,Yes,50m,800m,Active sinkhole with vertical drops.,Features a 20m pitch and 'The Swallet Stream'. Connects to Priddy systems.,SRT required,-,-,-,Yes,"SRT kit, wetsuit",Part of Priddy drainage.,-,Flash floods.,Mendip Cave Registry.  ,
51.31,-2.77,Rickford Rising,Cave, Somerset,Yes,5m,100m,Resurgence cave with a small stream.,Water emerges from the cave to form Rickford Brook. Popular for dye-testing.,-,-,-,-,No,Waterproof gear,Hydrological study site.,-,Slippery rocks.,Mendip Water Tracing Project.  ,
51.24,-2.71,White Pit Swallet,Cave, Somerset,Yes,20m,250m,Collapsed mine with cave passages.,A mix of natural and mined sections. Contains 'The White Room'.,-,-,-,-,No,"Helmet, gloves",Access restricted.,-,Unstable timbers.,Mendip Mines Registry.  ,
51.265,-2.77,Charterhouse Warren,Cave, Somerset,No,8m,120m,Shallow cave with Roman artifacts.,Used as a shelter during Roman lead mining. Features pottery fragments.,-,-,-,-,No,"Headlamp, trowel",Archaeological site.,-,Protected area.,Roman Britain Report #33.  ,
51.3,-2.71,Bleadon Cavern,Cave, Somerset,Partial,12m,180m,Coastal cave with marine fossils.,Contains Pleistocene shells and eroded limestone. Accessible at low tide.,-,-,-,-,No,"Tide table, torch",Tidal access only.,-,Drowning risk.,Bleadon Parish Council.  ,
51.275,-2.72,Cheddar Resurgence,Cave, Somerset,Yes,10m,150m,Source of the River Yeo.,A water-filled cave explored by divers. Features sumps and underwater passages.,-,-,-,-,No,Diving gear,Advanced diving required.,-,Divers only.,Cheddar Diving Club.  ,
51.245,-2.695,Twin Potholes,Cave, Somerset,Yes,25m,400m,Pair of vertical shafts near Priddy.,Two adjacent potholes (North and South) with short crawls and fossil-rich sediments.,SRT optional,-,-,-,Yes,"SRT kit, helmet",Used for training.,-,Loose gravel in shafts.,Mendip Caving Group.  ,
51.305,-2.755,Draycott Pot,Cave, Somerset,Yes,40m,600m,Stream sink with a 15m pitch.,Features 'The Drainpipe' crawl and seasonal waterfalls.,SRT required,-,-,-,Yes,"Wetsuit, SRT kit",Connects to Cheddar systems.,-,Flash floods.,Cheddar Caving Club.  ,
51.235,-2.675,Waterwheel Swallet,Cave, Somerset,Yes,30m,450m,Collapsed mine with a flooded chamber.,Named after an old waterwheel used in lead mining. Contains 'The Wheel Pit' sump.,-,-,-,-,No,"Drybag, light",Access via permit.,-,Submerged machinery.,Mendip Mining Registry.  ,
51.28,-2.78,Bridge Hole,Cave, Somerset,No,8m,100m,Small cave under a natural limestone bridge.,Contains Pleistocene bones and flowstone.,-,-,-,-,No,"Headlamp, camera",Protected site.,-,Fragile formations.,UBSS Journal Vol. 10.  ,
51.255,-2.71,Aveline's Hole,Cave, Somerset,No,10m,120m,Archaeological cave with Mesolithic remains.,"One of Britain's oldest burial sites (9,000 BCE). Now gated for preservation.",-,-,-,-,No,Permission required,Guarded by Historic England.,-,Strict access rules.,Wells Museum.  ,
51.31,-2.785,Rowberrow Lead Mine,Mine, Somerset,No,20m,300m,Roman-era lead mine with vertical shafts.,Open adits and slag heaps mark this ancient site. Now overgrown.,-,-,-,-,No,"Helmet, gloves",SSSI-protected.,-,Toxic soil.,Roman Mining in Britain (Claughton).  ,
51.265,-2.765,Longwood Valley Cave,Cave, Somerset,Yes,50m,800m,Seasonal stream cave with crawls.,Connects to Swildon's Hole in wet weather. Features 'The Duck' and 'Mud Maze'.,-,-,-,-,Partial,"Wetsuit, kneepads",Part of Priddy drainage.,-,Sudden flooding.,UBSS Journal Vol. 19.  ,
51.24,-2.705,Baker's Pit,Cave, Somerset,Yes,35m,500m,Vertical cave with calcite formations.,Named after explorer John Baker. Requires SRT for the 18m entrance pitch.,SRT required,-,-,-,Yes,"SRT kit, oversuit",Rarely visited.,-,Slippery walls.,Descent Magazine #202.  ,
51.295,-2.73,Sandford Leviathan,Mine, Somerset,No,25m,400m,19th-century ochre mine.,Massive underground chambers with colorful mineral stains.,-,-,-,-,No,"Headlamp, mask",Guided tours available.,-,Dust hazards.,Sandford Heritage Trust.  ,
51.225,-2.65,Ebbor Gorge Cave,Cave, Somerset,No,12m,150m,Shallow cave in a wooded gorge.,Contains bat roosts and limestone pillars.,-,-,-,-,No,Headlamp,National Trust site.,-,Protected wildlife.,National Trust Guide.  ,
51.275,-2.74,Lower Flood Swallet,Cave, Somerset,Yes,55m,900m,Active sinkhole with vertical pitches.,Connects to Priddy systems during floods. Features 'The Cascade' and 'Mud Hall'.,SRT required,-,-,-,Yes,"SRT kit, wetsuit",Dangerous in rain.,-,Extreme flood risk.,Mendip Cave Registry.  ,
51.3,-2.795,Compton Martin Cave,Cave, Somerset,Partial,15m,200m,Small resurgence cave.,Source of the Martin Brook. Features 'The Spring Pool' and calcite dams.,-,-,-,-,No,Waterproof gear,Access restricted.,-,Slippery rocks.,Mendip Hydrology Project.  ,
51.23,-2.62,Hurcot Pot,Cave, Somerset,Yes,30m,450m,Stream sink with a sump.,Features 'The Sump Crawl' and 'Hurcot Chamber'.,-,-,-,-,No,"Wetsuit, light",Seasonal access.,-,Cold water.,Shepton Mallet Caving Club.  ,
51.255,-2.655,Priddy Caves,Cave, Somerset,Yes,150m,1000m,Network of interconnected caves.,"Includes Swildon's Hole, Eastwater Cavern, and St Cuthbert's. Key hydrological system.",-,-,-,-,Yes,Full caving gear,Research ongoing.,-,Complex flooding.,,
51.29,-2.77,Cheddar Bone Cave,Cave, Somerset,No,5m,80m,Historic cave with Pleistocene fossils.,"Excavated in 1900, yielding hyena and mammoth bones.",-,-,-,-,No,Headlamp,Gated for conservation.,-,No public access.,Wells Museum Archives.  ,UBSS Journal Vol. 25.  
51.27,-2.68,Stoke St Michael Mines,Mine, Somerset,No,30m,600m,Roman lead mines with shafts.,Open pits and adits near Stoke St Michael village.,-,-,-,-,No,"Helmet, map",Self-guided walks.,-,Unmarked drops.,Mendip AONB Guide.  ,
51.31,-2.715,Burrington Slocker,Cave, Somerset,Yes,20m,300m,Resurgence cave with seasonal flow.,Water emerges here after sinking at Sidcot Swallet.,-,-,-,-,No,Waterproof light,Dye-testing site.,-,Slippery entrance.,Mendip Water Tracing.  ,
51.24,-2.715,West Twin Quarry Cave,Cave, Somerset,No,10m,120m,Disused quarry with small caves.,Features 'The Crevice' and fossilized coral beds.,-,-,-,-,No,"Helmet, guide",Geology field site.,-,Loose scree.,Mendip Geological Society.  ,
51.265,-2.73,Charterhouse Roman Mine,Mine, Somerset,No,15m,250m,Ancient lead mine with Roman artifacts.,Open-cast workings and smelting debris.,-,-,-,-,No,"Headlamp, gloves",SSSI-protected.,-,Toxic soil.,Historic England Report #501.  ,
51.28,-2.72,Upper Flood Swallet,Cave, Somerset,Yes,40m,700m,Stream sink with vertical drops.,Connects to Lower Flood Swallet in wet conditions.,SRT required,-,-,-,Yes,"SRT kit, wetsuit",Part of Priddy drainage.,-,Flash floods.,Mendip Cave Registry.  ,
51.25,-2.69,Hunter's Lodge Inn Sink,Cave, Somerset,Yes,25m,350m,Sinkhole near a historic pub.,Features 'The Pub Crawl' and 'Cellar Chamber'.,-,-,-,-,No,"Headlamp, kneepads",Access via MCG.,-,Landowner permission.,Mendip Caving Group.  ,
51.315,-2.765,Rickford Sink,Cave, Somerset,Yes,10m,150m,Small stream sink.,Water disappears here to resurge at Rickford Rising.,-,-,-,-,No,"Waders, light",Hydrology study site.,-,Slippery mud.,Mendip Hydrology Project.  ,
51.225,-2.51,Emborough Quarries,Mine, Somerset,No,25m,400m,Disused limestone quarries.,Artificial caves used for training and climbing.,-,-,-,-,No,"Helmet, boots",Open to public.,-,Unstable walls.,Mendip Mines Survey.  ,
51.295,-2.81,Compton Martin Slocker,Cave, Somerset,Yes,8m,100m,Resurgence cave with a deep pool.,Source of the Martin Brook. Popular for water tracing.,-,-,-,-,No,Waterproof gear,Access restricted.,-,Cold water.,Mendip Water Tracing.  ,
51.275,-2.765,Cheddar Gorge Mine,Mine, Somerset,No,20m,300m,19th-century limestone mine.,Tunnels with calcite formations and fossil beds.,-,-,-,-,No,Headlamp,Guided tours.,-,Low ceilings.,Cheddar Gorge Trust.  ,
51.235,-2.655,Priddy Pools Sink,Cave, Somerset,Yes,12m,200m,Seasonal sink near Priddy Pools.,Swallows surface water during heavy rain.,-,-,-,-,No,"Waders, light",Ecological study site.,-,Unstable edges.,Mendip Cave Registry.  ,
51.285,-2.75,Burrington Resurgence,Cave, Somerset,Yes,5m,50m,Small water resurgence.,Source of a tributary to the Yeo River.,-,-,-,-,No,None,Tourist attraction.,-,Slippery rocks.,Burrington Combe Guide.  ,
51.26,-2.775,Shipham Zinc Mine,Mine, Somerset,No,18m,250m,18th-century zinc mine.,Open shafts and calamine deposits.,-,-,-,-,No,"Helmet, gloves",SSSI-protected.,-,Toxic minerals.,Mendip Mining Registry.  ,
51.245,-2.705,Westbury Swallet,Cave, Somerset,Yes,35m,500m,Stream cave with crawls.,Features 'The Rabbit Hole' and 'Westbury Chamber'.,-,-,-,-,Partial,"Kneepads, light",Access via MCG.,-,Tight passages.,Mendip Caving Group.  ,
51.305,-2.745,Black Down Cave,Cave, Somerset,No,6m,80m,Shallow cave on Black Down.,Contains Pleistocene bones and flowstone.,-,-,-,-,No,Headlamp,Protected site.,-,Fragile formations.,UBSS Journal Vol. 7.  ,
51.255,-2.725,Stoke St Michael Slocker,Cave, Somerset,Yes,20m,300m,Resurgence cave with sump.,Water emerges here after sinking at Thrupe Lane.,-,-,-,-,No,"Waders, light",Hydrology project site.,-,Cold water.,Mendip Hydrology Project.  ,
